Antecedente;Consequente;Suporte;Confianca;Lift;Motivo_descarte
{genero_drama, periodo_1990_1999};{avaliacao_media};0,0986571663469443;0,7142857142857143;1,1157656555772997;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, genero_suspense};{popularidade_media};0,02055357632228;0,5555555555555556;1,114470710402541;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_acao, periodo_2000_2009};{popularidade_media};0,0454919155933132;0,5551839464882944;1,1137252450444124;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_drama, genero_romance};{avaliacao_media};0,0726226363387229;0,7123655913978495;1,112766285535425;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_crime, genero_drama};{avaliacao_media};0,0523431077007399;0,7100371747211897;1,1091291312318583;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{periodo_2000_2009, popularidade_media};{avaliacao_media};0,1109893121403124;0,7092819614711033;1,1079494338219418;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_acao, genero_aventura};{popularidade_media};0,0550835845437106;0,5521978021978022;1,1077348984165916;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, genero_comedia};{avaliacao_media};0,0400109619073718;0,7087378640776699;1,1070995145631068;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_romance};{popularidade_media};0,0674157303370786;0,5515695067264573;1,1064745079960652;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_drama, genero_suspense};{avaliacao_media};0,0767333516031789;0,7070707070707072;1,1044952954199532;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_animacao, genero_infantil};{popularidade_media};0,0224719101123595;0,5503355704697986;1,1039991735262755;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, popularidade_media};{avaliacao_media};0,0712523979172376;0,7065217391304348;1,103637768016677;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_acao, genero_suspense};{popularidade_media};0,0586462044395724;0,5501285347043702;1,103583849992439;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_romance, periodo_1990_1999};{avaliacao_media};0,0460400109619073;0,7058823529411765;1,1026390008058018;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
