movieId;title;transacao_json;quantidade_itens
13;Balto (1995);"[""avaliacao_media"", ""genero_animacao"", ""genero_aventura"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
14;Nixon (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
15;Cutthroat Island (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
16;Casino (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_alta""]";5
17;Sense and Sensibility (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";5
18;Four Rooms (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
19;Ace Ventura: When Nature Calls (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_alta""]";4
20;Money Train (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_comedia"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";8
21;Get Shorty (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
22;Copycat (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""genero_misterio"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";8
23;Assassins (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";6
24;Powder (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_media""]";5
25;Leaving Las Vegas (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";5
26;Othello (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
27;Now and Then (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
28;Persuasion (1995);"[""avaliacao_alta"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
29;City of Lost Children, The (Cité des enfants perdus, La) (1995);"[""avaliacao_alta"", ""genero_aventura"", ""genero_drama"", ""genero_fantasia"", ""genero_ficcao_cientifica"", ""genero_misterio"", ""periodo_1990_1999"", ""popularidade_media""]";8
31;Dangerous Minds (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
32;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);"[""avaliacao_media"", ""genero_ficcao_cientifica"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
34;Babe (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_alta""]";5
36;Dead Man Walking (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_alta""]";5
39;Clueless (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";5
41;Richard III (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_media""]";5
42;Dead Presidents (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
43;Restoration (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
44;Mortal Kombat (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_fantasia"", ""periodo_1990_1999"", ""popularidade_media""]";6
45;To Die For (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";6
46;How to Make an American Quilt (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
47;Seven (a.k.a. Se7en) (1995);"[""avaliacao_media"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";5
48;Pocahontas (1995);"[""avaliacao_media"", ""genero_animacao"", ""genero_drama"", ""genero_infantil"", ""genero_musical"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";8
50;Usual Suspects, The (1995);"[""avaliacao_alta"", ""genero_crime"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
52;Mighty Aphrodite (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
57;Home for the Holidays (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
58;Postman, The (Postino, Il) (1994);"[""avaliacao_alta"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
60;Indian in the Cupboard, The (1995);"[""avaliacao_media"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";6
61;Eye for an Eye (1996);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
62;Mr. Holland's Opus (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_alta""]";4
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_crime"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
64;Two if by Sea (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
65;Bio-Dome (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
66;Lawnmower Man 2: Beyond Cyberspace (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
68;French Twist (Gazon maudit) (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
69;Friday (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
70;From Dusk Till Dawn (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_comedia"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_alta""]";7
71;Fair Game (1995);"[""avaliacao_baixa"", ""genero_acao"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
72;Kicking and Screaming (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
73;Misérables, Les (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_media""]";5
74;Bed of Roses (1996);"[""avaliacao_alta"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
75;Big Bully (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
76;Screamers (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";6
79;Juror, The (1996);"[""avaliacao_baixa"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
81;Things to Do in Denver When You're Dead (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
82;Antonia's Line (Antonia) (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
85;Angels and Insects (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
86;White Squall (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";6
87;Dunston Checks In (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
88;Black Sheep (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
89;Nick of Time (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
92;Mary Reilly (1996);"[""avaliacao_baixa"", ""genero_drama"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
93;Vampire in Brooklyn (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_romance"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
94;Beautiful Girls (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
95;Broken Arrow (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
97;Hate (Haine, La) (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
100;City Hall (1996);"[""avaliacao_baixa"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
101;Bottle Rocket (1996);"[""avaliacao_media"", ""genero_aventura"", ""genero_comedia"", ""genero_crime"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";7
102;Mr. Wrong (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
104;Happy Gilmore (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_alta""]";4
105;Bridges of Madison County, The (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
107;Muppet Treasure Island (1996);"[""avaliacao_media"", ""genero_aventura"", ""genero_comedia"", ""genero_infantil"", ""genero_musical"", ""periodo_1990_1999"", ""popularidade_media""]";7
110;Braveheart (1995);"[""avaliacao_alta"", ""genero_acao"", ""genero_drama"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_alta""]";6
111;Taxi Driver (1976);"[""avaliacao_alta"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1970_1989"", ""popularidade_alta""]";6
112;Rumble in the Bronx (Hont faan kui) (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_comedia"", ""genero_crime"", ""periodo_1990_1999"", ""popularidade_media""]";7
116;Anne Frank Remembered (1995);"[""avaliacao_media"", ""genero_documentario"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
122;Boomerang (1992);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
125;Flirting With Disaster (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
126;NeverEnding Story III, The (1994);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
132;Jade (1995);"[""avaliacao_baixa"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
135;Down Periscope (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
140;Up Close and Personal (1996);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
141;Birdcage, The (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_alta""]";4
144;Brothers McMullen, The (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
145;Bad Boys (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_comedia"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";8
147;Basketball Diaries, The (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
150;Apollo 13 (1995);"[""avaliacao_media"", ""genero_aventura"", ""genero_drama"", ""genero_imax"", ""periodo_1990_1999"", ""popularidade_alta""]";6
151;Rob Roy (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_drama"", ""genero_guerra"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";7
153;Batman Forever (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_comedia"", ""genero_crime"", ""periodo_1990_1999"", ""popularidade_alta""]";7
154;Beauty of the Day (Belle de jour) (1967);"[""avaliacao_media"", ""genero_drama"", ""periodo_1950_1969"", ""popularidade_media""]";4
155;Beyond Rangoon (1995);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_drama"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
157;Canadian Bacon (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_media""]";5
158;Casper (1995);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_alta""]";5
159;Clockers (1995);"[""avaliacao_baixa"", ""genero_crime"", ""genero_drama"", ""genero_misterio"", ""periodo_1990_1999"", ""popularidade_media""]";6
160;Congo (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_ficcao_cientifica"", ""genero_misterio"", ""periodo_1990_1999"", ""popularidade_alta""]";7
161;Crimson Tide (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_guerra"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
162;Crumb (1994);"[""avaliacao_alta"", ""genero_documentario"", ""periodo_1990_1999"", ""popularidade_media""]";4
163;Desperado (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_faroeste"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";6
164;Devil in a Blue Dress (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_film_noir"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
165;Die Hard: With a Vengeance (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
168;First Knight (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";6
169;Free Willy 2: The Adventure Home (1995);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_drama"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";6
170;Hackers (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
171;Jeffrey (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
172;Johnny Mnemonic (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
173;Judge Dredd (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_crime"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_alta""]";6
174;Jury Duty (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
175;Kids (1995);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
176;Living in Oblivion (1995);"[""avaliacao_alta"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
177;Lord of Illusions (1995);"[""avaliacao_baixa"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
180;Mallrats (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
181;Mighty Morphin Power Rangers: The Movie (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";5
185;Net, The (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
186;Nine Months (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
188;Prophecy, The (1995);"[""avaliacao_media"", ""genero_fantasia"", ""genero_misterio"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";6
190;Safe (1995);"[""avaliacao_baixa"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
191;Scarlet Letter, The (1995);"[""avaliacao_baixa"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
193;Showgirls (1995);"[""avaliacao_baixa"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
194;Smoke (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
195;Something to Talk About (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
196;Species (1995);"[""avaliacao_baixa"", ""genero_ficcao_cientifica"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";5
198;Strange Days (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_drama"", ""genero_ficcao_cientifica"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";9
203;To Wong Foo, Thanks for Everything! Julie Newmar (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
204;Under Siege 2: Dark Territory (1995);"[""avaliacao_baixa"", ""genero_acao"", ""periodo_1990_1999"", ""popularidade_media""]";4
205;Unstrung Heroes (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
207;Walk in the Clouds, A (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
208;Waterworld (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_alta""]";6
213;Burnt by the Sun (Utomlyonnye solntsem) (1994);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
215;Before Sunrise (1995);"[""avaliacao_alta"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
216;Billy Madison (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
217;Babysitter, The (1995);"[""avaliacao_baixa"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
218;Boys on the Side (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
222;Circle of Friends (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
223;Clerks (1994);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_alta""]";4
224;Don Juan DeMarco (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
225;Disclosure (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";5
227;Drop Zone (1994);"[""avaliacao_baixa"", ""genero_acao"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
229;Death and the Maiden (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
230;Dolores Claiborne (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
231;Dumb & Dumber (Dumb and Dumber) (1994);"[""avaliacao_media"", ""genero_aventura"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_alta""]";5
232;Eat Drink Man Woman (Yin shi nan nu) (1994);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
233;Exotica (1994);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
234;Exit to Eden (1994);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
235;Ed Wood (1994);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_alta""]";5
236;French Kiss (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
237;Forget Paris (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
239;Goofy Movie, A (1995);"[""avaliacao_media"", ""genero_animacao"", ""genero_comedia"", ""genero_infantil"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";7
242;Farinelli: il castrato (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_musical"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
246;Hoop Dreams (1994);"[""avaliacao_alta"", ""genero_documentario"", ""periodo_1990_1999"", ""popularidade_media""]";4
247;Heavenly Creatures (1994);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
248;Houseguest (1994);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
249;Immortal Beloved (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
250;Heavyweights (Heavy Weights) (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
252;I.Q. (1994);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
253;Interview with the Vampire: The Vampire Chronicles (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_alta""]";5
255;Jerky Boys, The (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
256;Junior (1994);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_media""]";5
257;Just Cause (1995);"[""avaliacao_media"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
258;Kid in King Arthur's Court, A (1995);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_comedia"", ""genero_fantasia"", ""genero_infantil"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";8
259;Kiss of Death (1995);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
260;Star Wars: Episode IV - A New Hope (1977);"[""avaliacao_alta"", ""genero_acao"", ""genero_aventura"", ""genero_ficcao_cientifica"", ""periodo_1970_1989"", ""popularidade_alta""]";6
261;Little Women (1994);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
262;Little Princess, A (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";5
265;Like Water for Chocolate (Como agua para chocolate) (1992);"[""avaliacao_media"", ""genero_drama"", ""genero_fantasia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
266;Legends of the Fall (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_faroeste"", ""genero_guerra"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";7
267;Major Payne (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
270;Love Affair (1994);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
272;Madness of King George, The (1994);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
273;Mary Shelley's Frankenstein (Frankenstein) (1994);"[""avaliacao_baixa"", ""genero_drama"", ""genero_ficcao_cientifica"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";6
274;Man of the House (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
275;Mixed Nuts (1994);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
276;Milk Money (1994);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
277;Miracle on 34th Street (1994);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
280;Murder in the First (1995);"[""avaliacao_alta"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
281;Nobody's Fool (1994);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
